Título,Total,total deflactado,Sector privado no financiero,sector privado no financiero deflactado,Sector financiero no bancario,sector financiero no bancario deflactado,Sector público,sector público,Otros sectores,otros sectores deflactados,Sector externo,sector externo deflactado,Crédito a banca comercial,crédito a banca comercial deflactado
Feb 2005,"1,003,977.8",19.8,"738,137.1",14.6,"47,733.1",0.9,"101,667.1",2.0,"106,581.0",2.1,"9,859.5",0.2,405.5,0.008013115
Mar 2005,"1,016,608.5",20.1,"744,521.0",14.7,"48,635.5",1.0,"105,164.8",2.1,"109,353.0",2.2,"8,934.2",0.2,616.6,0.012184678
Abr 2005,"1,038,175.5",20.5,"763,970.2",15.1,"52,286.8",1.0,"104,502.3",2.1,"108,163.2",2.1,"9,253.0",0.2,813.6,0.016077609
May 2005,"1,055,922.4",20.9,"774,213.1",15.3,"54,435.2",1.1,"106,948.2",2.1,"113,488.4",2.2,"6,837.5",0.1,703.3,0.013897963
Jun 2005,"1,051,760.0",20.8,"776,259.6",15.3,"54,106.5",1.1,"106,460.8",2.1,"109,466.5",2.2,"5,466.6",0.1,774.7,0.015308903
Jul 2005,"1,059,833.7",20.9,"782,276.1",15.5,"53,634.2",1.1,"107,595.3",2.1,"109,729.9",2.2,"6,598.2",0.1,679.0,0.013417769
Ago 2005,"1,067,878.0",21.1,"783,518.8",15.5,"55,273.9",1.1,"112,021.6",2.2,"109,583.3",2.2,"7,480.4",0.1,644.3,0.012732059
Sep 2005,"1,066,928.7",21.1,"781,227.2",15.4,"57,173.5",1.1,"103,922.6",2.1,"116,557.3",2.3,"8,048.1",0.2,614.6,0.012145156
Oct 2005,"1,087,193.9",21.5,"800,468.8",15.8,"56,988.5",1.1,"101,461.0",2.0,"118,982.4",2.4,"9,293.2",0.2,567.5,0.011214409
Nov 2005,"1,107,617.1",21.9,"826,263.3",16.3,"60,090.7",1.2,"99,909.5",2.0,"113,116.3",2.2,"8,237.3",0.2,902.7,0.017838321
Dic 2005,"1,146,274.4",22.7,"860,228.5",17.0,"62,014.6",1.2,"102,862.5",2.0,"112,919.8",2.2,"8,249.0",0.2,958.2,0.01893506
Ene 2006,"1,153,427.2",22.8,"870,167.7",17.2,"59,549.1",1.2,"102,934.4",2.0,"113,026.4",2.2,"7,749.6",0.2,"1,017.1",0.020098988
Feb 2006,"1,170,243.5",23.1,"890,315.5",17.6,"58,640.3",1.2,"100,830.6",2.0,"112,858.2",2.2,"7,598.9",0.2,"1,006.5",0.01988952
