value,group,percentage
167929,B,0.068222211
323437.6,C,0.131398557
9362.3,D,0.003803493
48276.9,E,0.019612794
1725.5,F,0.000700995
1901163.9,A,0.775960181
166507.7,B,0.06796013
327361,C,0.133612415
9364.3,D,0.00382204
45682.3,E,0.018645234
1395.9,F,0.000569737
1904650.4,A,0.777676958
165129.5,B,0.067423086
324586.3,C,0.132529984
9201.6,D,0.003757053
45585.9,E,0.018612919
1338.1,F,0.000546352
1930664.8,A,0.775286218
168543.4,B,0.067681026
333830.5,C,0.134054439
8985.6,D,0.003608297
48236.3,E,0.01936998
826,F,0.000331692
1928785.1,A,0.771625926
179479.4,B,0.071802171
334094.7,C,0.13365726
8989,D,0.003596121
48289.5,E,0.019318601
1472.3,F,0.000589005
1979504,A,0.775562926
180136.2,B,0.07057675
336504.4,C,0.131841278
8681.2,D,0.003401265
47519,E,0.018617782
2570.2,F,0.001006996
1989286.3,A,0.773853921
183979,B,0.071569824
349226.1,C,0.135852736
8648.7,D,0.003364438
39482.4,E,0.015359081
2798.3,F,0.001088569
2002157.3,A,0.774594979
185760.4,B,0.071867017
348486.3,C,0.134822443
8651,D,0.0033469
39724.6,E,0.01536866
2602.1,F,0.001006701
2014584.8,A,0.771533367
193305.3,B,0.074030882
353608.8,C,0.135422936
8345.2,D,0.003195994
41300,E,0.015816821
2142.6,F,0.00082056
2036629.8,A,0.771804279
198575.8,B,0.075252583
356616.5,C,0.135143923
8312.2,D,0.003150004
38656.2,E,0.014649211
2422.5,F,0.000918034
2047379,A,0.772130211
200001.9,B,0.075426928
358759.6,C,0.135299388
8313.8,D,0.003135392
37143.7,E,0.014008043
2679.2,F,0.00101041
2080202.6,A,0.769071305
214973.1,B,0.079477664
364797.5,C,0.134869214
8308.8,D,0.003071845
36542.1,E,0.013509973
1984,F,0.000733504
2100727.8,A,0.762912533
227623.2,B,0.082664966
383380.3,C,0.139230621
8043.5,D,0.002921124
33788.3,E,0.012270756
2129.9,F,0.000773507
2102753.8,A,0.764835407
224257.1,B,0.081569117
377263.4,C,0.137222154
8039.5,D,0.00292421
36975.4,E,0.013449076
1413.1,F,0.000513987
2113139.3,A,0.766221226
223900.8,B,0.081186103
380544.8,C,0.137984989
8039.6,D,0.002915147
32246.4,E,0.011692498
2120.7,F,0.000768963
2118774.5,A,0.7661159
227672.7,B,0.082322907
381131.1,C,0.137811077
8049.6,D,0.00291061
29977.9,E,0.010839542
2895.4,F,0.001046932
2136986.2,A,0.768580555
230690.3,B,0.08296922
378598.8,C,0.136165444
8043.5,D,0.002892895
26113.5,E,0.009391885
2633.6,F,0.000947191
2165561.3,A,0.768811737
235432.6,B,0.083582647
379035.2,C,0.134564055
6038.8,D,0.002143879
30696.1,E,0.010897647
3144.8,F,0.001116458
2174878.1,A,0.766419628
242247.7,B,0.085367264
382147,C,0.1346673
4036.1,D,0.001422308
34403,E,0.0121235
3570.9,F,0.001258373
2197484.5,A,0.770506433
241601,B,0.084712827
378937.7,C,0.132867347
4037.6,D,0.001415708
29939.3,E,0.01049765
4312,F,0.001511921
2230163.8,A,0.769017943
243400.2,B,0.083930661
383627.9,C,0.132284785
4004.9,D,0.001380993
38818.5,E,0.013385619
2656.1,F,0.000915892
2239187.9,A,0.771324506
246338.7,B,0.084855351
382639.8,C,0.131806471
4005.8,D,0.001379863
30870.4,E,0.010633809
2612.9,F,0.000900056
2261458.4,A,0.768528121
246066.2,B,0.083622495
393695.8,C,0.133792553
4006.6,D,0.001361592
37356.8,E,0.012695237
1978.9,F,0.000672504
2305386.5,A,0.772064543
242349.7,B,0.081161927
393519.4,C,0.131788043
2005.3,D,0.000671567
42741.4,E,0.014313921
2957.1,F,0.000990321
2321104.8,A,0.771980418
253339.5,B,0.08425864
402922.9,C,0.134008852
0,D,0
29321.6,E,0.009752124
3584.3,F,0.001192109
2312827.4,A,0.772725608
246322.4,B,0.082297376
401571.6,C,0.134166803
0,D,0
32355.7,E,0.010810179
3835.4,F,0.001281424
2313517.6,A,0.77257535
246330.1,B,0.082259397
403242.6,C,0.134658709
0,D,0
31462.4,E,0.010506544
3883.6,F,0.001296888
2321503,A,0.77060102
247614.1,B,0.082193165
408379.2,C,0.135557623
0,D,0
35091.2,E,0.011648193
2648.9,F,0.000879277
2335148,A,0.774491672
247277.1,B,0.082013669
400596.9,C,0.132864796
0,D,0
32049.9,E,0.010629896
2861.7,F,0.000949132
2376121.6,A,0.774673187
246263.1,B,0.080287735
413548.8,C,0.134826924
0,D,0
31323.3,E,0.010212154
2469.6,F,0.000805149
2377230.3,A,0.772479586
254001,B,0.082537475
411769.4,C,0.133804224
0,D,0
34401.4,E,0.011178715
1207.9,F,0.000392506
2386813.4,A,0.770915114
249703.3,B,0.080651486
426698.6,C,0.137819069
0,D,0
32862.8,E,0.010614332
1138.2,F,0.000367626
2405206.3,A,0.772583315
244051.1,B,0.078392364
431365.2,C,0.138560071
0,D,0
32577.3,E,0.010464249
866.6,F,0.000278363
2413903.5,A,0.772561951
246308.9,B,0.078830361
429931,C,0.137598016
0,D,0
34400.1,E,0.01100964
1335.1,F,0.000427294
2435720.4,A,0.773242092
241595.5,B,0.076696738
436638.6,C,0.138614984
0,D,0
36055.6,E,0.011446186
1143.2,F,0.000362919
2470314.1,A,0.763418338
255773.5,B,0.079043463
471171.1,C,0.14560928
0,D,0
